"filename", "language", "C++", "Gradle", "Java Properties", "XML", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\presenter_2\android\app\build.gradle", "Gradle", 0, -54, 0, 0, -5, -13, -72
"c:\Users\User\CODE\mobile_apps\presenter_2\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, -4, -4, -1, -9
"c:\Users\User\CODE\mobile_apps\presenter_2\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, -28, -6, -1, -35
"c:\Users\User\CODE\mobile_apps\presenter_2\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, -4, -7, -2, -13
"c:\Users\User\CODE\mobile_apps\presenter_2\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, -4, -7, -2, -13
"c:\Users\User\CODE\mobile_apps\presenter_2\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, -9, -9, -1, -19
"c:\Users\User\CODE\mobile_apps\presenter_2\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, -9, -9, -1, -19
"c:\Users\User\CODE\mobile_apps\presenter_2\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, -4, -4, -1, -9
"c:\Users\User\CODE\mobile_apps\presenter_2\android\build.gradle", "Gradle", 0, -27, 0, 0, 0, -5, -32
"c:\Users\User\CODE\mobile_apps\presenter_2\android\gradle.properties", "Java Properties", 0, 0, -3, 0, 0, -1, -4
"c:\Users\User\CODE\mobile_apps\presenter_2\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, -5, 0, 0, -1, -6
"c:\Users\User\CODE\mobile_apps\presenter_2\android\settings.gradle", "Gradle", 0, -8, 0, 0, 0, -4, -12
"c:\Users\User\CODE\mobile_apps\presenter_2\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 4, 5, 16
"c:\Users\User\CODE\mobile_apps\presenter_2\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 5, 6, 16
"c:\Users\User\CODE\mobile_apps\presenter_2\linux\main.cc", "C++", 5, 0, 0, 0, 0, 2, 7
"c:\Users\User\CODE\mobile_apps\presenter_2\linux\my_application.cc", "C++", 74, 0, 0, 0, 11, 20, 105
"c:\Users\User\CODE\mobile_apps\presenter_2\linux\my_application.h", "C++", 7, 0, 0, 0, 7, 5, 19
"Total", "-", 98, -89, -8, -62, -24, 5, -80
