"filename", "language", "C++", "Project.pbxproj", "XML", "Swift", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\presenter_2\ios\Runner.xcodeproj\project.pbxproj", "Project.pbxproj", 0, 443, 0, 0, 0, 0, 27, 14, 484
"c:\Users\User\CODE\mobile_apps\presenter_2\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\User\CODE\mobile_apps\presenter_2\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 1, 123
"c:\Users\User\CODE\mobile_apps\presenter_2\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 1, 24
"c:\Users\User\CODE\mobile_apps\presenter_2\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 2, 5
"c:\Users\User\CODE\mobile_apps\presenter_2\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\User\CODE\mobile_apps\presenter_2\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\User\CODE\mobile_apps\presenter_2\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\CODE\mobile_apps\presenter_2\linux\flutter\generated_plugin_registrant.cc", "C++", -7, 0, 0, 0, 0, 0, -4, -5, -16
"c:\Users\User\CODE\mobile_apps\presenter_2\linux\flutter\generated_plugin_registrant.h", "C++", -5, 0, 0, 0, 0, 0, -5, -6, -16
"c:\Users\User\CODE\mobile_apps\presenter_2\linux\main.cc", "C++", -5, 0, 0, 0, 0, 0, 0, -2, -7
"c:\Users\User\CODE\mobile_apps\presenter_2\linux\my_application.cc", "C++", -74, 0, 0, 0, 0, 0, -11, -20, -105
"c:\Users\User\CODE\mobile_apps\presenter_2\linux\my_application.h", "C++", -7, 0, 0, 0, 0, 0, -7, -5, -19
"Total", "-", -97, 443, 61, 12, 3, 145, 2, -15, 554
