"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\README.md", "Markdown", 0, 5, 0, 1, 6
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\_ble.dart", "Dart", 0, 0, 298, 2, 300
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\_promo.dart", "Dart", 129, 0, 0, 13, 142
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\design.dart", "Dart", 250, 0, 3, 49, 302
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\help.dart", "Dart", 466, 0, 4, 49, 519
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\home.dart", "Dart", 745, 0, 198, 27, 970
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\main.dart", "Dart", 118, 0, 10, 20, 148
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\presenter.dart", "Dart", 696, 0, 1, 48, 745
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\store.dart", "Dart", 61, 0, 4, 21, 86
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\wifi.dart", "Dart", 77, 0, 0, 15, 92
"Total", "-", 2542, 5, 518, 245, 3310
