"filename", "language", "XML", "Swift", "C++", "JSON", "Markdown", "Project.pbxproj", "Gradle", "Java Properties", "Kotlin", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, -67, 0, 0, 0, -14, -81
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\app\src\debug\AndroidManifest.xml", "XML", -4, 0, 0, 0, 0, 0, 0, 0, 0, -4, -1, -9
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\app\src\main\AndroidManifest.xml", "XML", -35, 0, 0, 0, 0, 0, 0, 0, 0, -6, -3, -44
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\app\src\main\kotlin\com\example\presenter_2\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -2, -6
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -10
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\app\src\main\res\drawable\launch_background.xml", "XML", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -10
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\app\src\main\res\values-night-v31\styles.xml", "XML", -14, 0, 0, 0, 0, 0, 0, 0, 0, -7, -1, -22
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\app\src\main\res\values-night\styles.xml", "XML", -9, 0, 0, 0, 0, 0, 0, 0, 0, -9, -1, -19
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\app\src\main\res\values-v31\styles.xml", "XML", -14, 0, 0, 0, 0, 0, 0, 0, 0, -7, -1, -22
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\app\src\main\res\values\styles.xml", "XML", -13, 0, 0, 0, 0, 0, 0, 0, 0, -9, -1, -23
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\app\src\profile\AndroidManifest.xml", "XML", -4, 0, 0, 0, 0, 0, 0, 0, 0, -4, -1, -9
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, -5, -32
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -1, -6
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -4, -12
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Flutter\AppFrameworkInfo.plist", "XML", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner.xcodeproj\project.pbxproj", "Project.pbxproj", 0, 0, 0, 0, 0, 443, 0, 0, 0, 27, 14, 484
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
