"filename", "language", "XML", "Swift", "C++", "JSON", "Markdown", "Project.pbxproj", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Flutter\AppFrameworkInfo.plist", "XML", 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner.xcodeproj\project.pbxproj", "Project.pbxproj", 0, 0, 0, 0, 0, 443, 27, 14, 484
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 1, 123
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 2, 5
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 43, 0, 0, 0, 0, 0, 1, 1, 45
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Base.lproj\Main.storyboard", "XML", 25, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Info.plist", "XML", 58, 0, 0, 0, 0, 0, 0, 1, 59
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 1, 2
"Total", "-", 168, 12, 1, 166, 3, 443, 29, 28, 850
