"filename", "language", "CMake", "C++", "XML", "Swift", "JSON", "Markdown", "Project.pbxproj", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Flutter\AppFrameworkInfo.plist", "XML", 0, 0, -26, 0, 0, 0, 0, 0, -1, -27
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner.xcodeproj\project.pbxproj", "Project.pbxproj", 0, 0, 0, 0, 0, 0, -443, -27, -14, -484
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, -8, 0, 0, 0, 0, 0, -1, -9
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, -8, 0, 0, 0, 0, 0, -1, -9
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, -12, 0, 0, 0, 0, -2, -14
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, -122, 0, 0, 0, -1, -123
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 0, -21, 0, 0, 0, -1, -22
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, -23, 0, 0, 0, -1, -24
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, -3, 0, 0, -2, -5
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, -43, 0, 0, 0, 0, -1, -1, -45
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, -25, 0, 0, 0, 0, -1, -1, -27
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Info.plist", "XML", 0, 0, -58, 0, 0, 0, 0, 0, -1, -59
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\ios\Runner\Runner-Bridging-Header.h", "C++", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 6, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\flutter\generated_plugins.cmake", "CMake", 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\flutter_window.cpp", "C++", 0, 48, 0, 0, 0, 0, 0, 4, 15, 67
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\utils.cpp", "C++", 0, 53, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 19, 436, -168, -12, -166, -3, -443, 62, 120, -155
