"filename", "language", "CMake", "C++", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 6, 4, 5, 15
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 5, 6, 16
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\flutter\generated_plugins.cmake", "CMake", 19, 0, 0, 6, 25
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\flutter_window.cpp", "C++", 0, 48, 4, 15, 67
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\flutter_window.h", "C++", 0, 20, 5, 9, 34
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\main.cpp", "C++", 0, 30, 4, 10, 44
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\resource.h", "C++", 0, 9, 6, 2, 17
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\utils.cpp", "C++", 0, 53, 2, 10, 65
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\utils.h", "C++", 0, 8, 6, 6, 20
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\win32_window.cpp", "C++", 0, 210, 24, 55, 289
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\win32_window.h", "C++", 0, 48, 31, 24, 103
"Total", "-", 19, 437, 91, 148, 695
