"filename", "language", "Dart", "Markdown", "CMake", "C++", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\README.md", "Markdown", 0, 5, 0, 0, 0, 1, 6
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\debug.dart", "Dart", 0, 0, 0, 0, 51, 0, 51
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\design.dart", "Dart", 276, 0, 0, 0, 1, 50, 327
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\help.dart", "Dart", 437, 0, 0, 0, 3, 59, 499
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\home.dart", "Dart", 900, 0, 0, 0, 14, 27, 941
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\main.dart", "Dart", 99, 0, 0, 0, 1, 24, 124
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\presenter.dart", "Dart", 731, 0, 0, 0, 0, 52, 783
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\store.dart", "Dart", 67, 0, 0, 0, 4, 22, 93
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\test.md", "Markdown", 0, 10, 0, 0, 0, 1, 11
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\wifi.dart", "Dart", 103, 0, 0, 0, 67, 21, 191
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, -6, -4, -5, -15
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, -5, -5, -6, -16
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, -19, 0, 0, -6, -25
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, -48, -4, -15, -67
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\flutter_window.h", "C++", 0, 0, 0, -20, -5, -9, -34
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\main.cpp", "C++", 0, 0, 0, -30, -4, -10, -44
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\resource.h", "C++", 0, 0, 0, -9, -6, -2, -17
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\utils.cpp", "C++", 0, 0, 0, -53, -2, -10, -65
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\utils.h", "C++", 0, 0, 0, -8, -6, -6, -20
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\win32_window.cpp", "C++", 0, 0, 0, -210, -24, -55, -289
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\windows\runner\win32_window.h", "C++", 0, 0, 0, -48, -31, -24, -103
"Total", "-", 2613, 15, -19, -437, 50, 109, 2331
