"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\design.dart", "Dart", 308, 0, 49, 357
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\help.dart", "Dart", 606, 3, 64, 673
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\home.dart", "Dart", 743, 2, 20, 765
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\main.dart", "Dart", 104, 1, 24, 129
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\mockups.dart", "Dart", 387, 4, 65, 456
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\onboarding.dart", "Dart", 133, 1, 14, 148
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\presenter.dart", "Dart", 741, 0, 52, 793
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\store.dart", "Dart", 61, 0, 21, 82
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\wifi.dart", "Dart", 115, 26, 20, 161
"Total", "-", 3198, 37, 329, 3564
